,Date,close,BOP^BOP,MA5&TRIMA5^MA5&TRIMA5,MA5&TRIMA5^SMA5&TRIMA5,MA5&KAMA10^DEMA60&KAMA60,MA5&KAMA10^DEMA60&WMA60,SMA5&TRIMA5^MA5&TRIMA5,SMA5&TRIMA5^SMA5&TRIMA5,SMA5&KAMA10^DEMA60&KAMA60,SMA5&KAMA10^DEMA60&WMA60,TRIMA5&KAMA10^DEMA60&EMA60,TRIMA5&KAMA10^DEMA60&KAMA60,TRIMA5&KAMA10^DEMA60&WMA60,EMA10&KAMA20^DEMA60&EMA60,EMA10&KAMA20^DEMA60&KAMA60,EMA10&KAMA20^DEMA60&WMA60
0,2022-01-03,146.3999938965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2022-01-04,149.6000061035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2022-01-05,149.3000030518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2022-01-06,147.8999938965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2022-01-07,146.6000061035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2022-01-10,147.5500030518,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
6,2022-01-11,148.3000030518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2022-01-12,149.5500030518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2022-01-13,150.3000030518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2022-01-14,150.3000030518,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
10,2022-01-17,152.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2022-01-18,150.3000030518,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2022-01-19,148.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2022-01-20,149.1000061035,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2022-01-21,142.6499938965,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,2022-01-24,144.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2022-01-25,141.6499938965,-1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
17,2022-01-26,141.5500030518,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2022-02-07,142.3000030518,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2022-02-08,142.8999938965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2022-02-09,143.3999938965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,2022-02-10,145.0500030518,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2022-02-11,144.9499969482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2022-02-14,142.6999969482,-1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
24,2022-02-15,142.0500030518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2022-02-16,144.3999938965,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
26,2022-02-17,144.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2022-02-18,144.1000061035,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
28,2022-02-21,143.8000030518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2022-02-22,141.8500061035,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2022-02-23,142.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2022-02-24,138.8000030518,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2022-02-25,138.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2022-03-01,140.4499969482,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
34,2022-03-02,139.6499938965,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2022-03-03,139.9499969482,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
36,2022-03-04,138.4499969482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,2022-03-07,134.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2022-03-08,131.1499938965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2022-03-09,132.5,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
40,2022-03-10,136.3500061035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,2022-03-11,134.3999938965,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,2022-03-14,134.3999938965,0,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
43,2022-03-15,131.6499938965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2022-03-16,132.1999969482,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
45,2022-03-17,136.3999938965,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2022-03-18,136.1000061035,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2022-03-21,137.0,1,-1,-1,0,0,-1,-1,0,0,0,0,0,0,0,0
48,2022-03-22,136.8000030518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
